Biblioteca	app.drey.Biblioteca	298.1MB
Warp	app.drey.Warp	6.9MB
Clipboard	app.getclipboard.Clipboard	2.0MB
Moosync	app.moosync.moosync	404.7MB
SSH-MITM	at.ssh_mitm.server	31.7MB
Threema	ch.threema.threema-web-desktop	299.8MB
Events	codes.loers.Karlender	8.9MB
Nyrna	codes.merritt.Nyrna	26.6MB
Saber: Handwritten Notes	com.adilhanney.saber	49.7MB
Decoder	com.belmoussaoui.Decoder	18.2MB
Snowglobe	com.belmoussaoui.snowglobe	305.2MB
oneko	com.daidouji.oneko	176.1kB
fwbackups	com.diffingo.fwbackups	13.8MB
Discord	com.discordapp.Discord	238.0MB
GitFiend	com.gitfiend.GitFiend	3.9MB
Spotube	com.github.KRTirtho.Spotube	70.0MB
Sioyek	com.github.ahrm.sioyek	271.9MB
Desktop Files Creator	com.github.alexkdeveloper.desktop-files-creator	106.0kB
Forgetpass	com.github.alexkdeveloper.forgetpass	67.1kB
Soma Radio	com.github.alexkdeveloper.somafm	162.3kB
WebArchives	com.github.birros.WebArchives	6.3MB
Dippi	com.github.cassidyjames.dippi	218.1kB
TLPUI	com.github.d4nj1.tlpui	1.3MB
Notepad Next	com.github.dail8859.NotepadNext	6.0MB
NormCap	com.github.dynobo.normcap	335.0MB
Eyedropper	com.github.finefindus.eyedropper	5.8MB
Rnote	com.github.flxzt.rnote	40.7MB
Curtail	com.github.huluti.Curtail	2.5MB
unlockR	com.github.jkotra.unlockr	3.4MB
Touché	com.github.joseexposito.touche	1.9MB
ThiefMD	com.github.kmwallio.thiefmd	183.8MB
Pods	com.github.marhkb.Pods	13.8MB
SongRec	com.github.marinm.songrec	7.6MB
Czkawka	com.github.qarmin.czkawka	17.2MB
Szyszka	com.github.qarmin.szyszka	4.2MB
sleek	com.github.ransome1.sleek	254.9MB
Pin It!	com.github.ryonakano.pinit	543.2kB
CoreChess	com.github.sakya.corechess	237.0MB
Flatseal	com.github.tchx84.Flatseal	540.7kB
Oomox theme designer	com.github.themix_project.Oomox	440.5MB
Remote Touchpad	com.github.unrud.RemoteTouchpad	6.1MB
Scans to PDF	com.github.unrud.djpdf	106.3MB
OCR Arabic	com.github.unrud.djpdf.OCR.Ara	12.6MB
OCR Chinese - Simplified	com.github.unrud.djpdf.OCR.ChiSim	13.1MB
OCR German	com.github.unrud.djpdf.OCR.Deu	8.6MB
OCR French	com.github.unrud.djpdf.OCR.Fra	4.0MB
OCR Hindi	com.github.unrud.djpdf.OCR.Hin	11.9MB
OCR Japanese	com.github.unrud.djpdf.OCR.Jpn	14.3MB
OCR Portuguese	com.github.unrud.djpdf.OCR.Por	8.2MB
OCR Russian	com.github.unrud.djpdf.OCR.Rus	15.3MB
OCR Spanish; Castilian	com.github.unrud.djpdf.OCR.Spa	13.6MB
ElectronMail	com.github.vladimiry.ElectronMail	570.6MB
SyncThingy	com.github.zocker_160.SyncThingy	24.4MB
Haguichi	com.github.ztefn.haguichi	506.9kB
ClamTk	com.gitlab.davem.ClamTk	78.3MB
Master Key	com.gitlab.guillermop.MasterKey	8.4MB
Helix	com.helix_editor.Helix	145.8MB
Battery Info	com.her01n.BatteryInfo	66.0MB
Celeste	com.hunterwittenborn.Celeste	118.7MB
qView	com.interversehq.qView	1.9MB
Gitnuro	com.jetpackduba.Gitnuro	242.3MB
draw.io	com.jgraph.drawio.desktop	605.0MB
Whatsie	com.ktechpit.whatsie	167.9MB
GtkStressTesting	com.leinardi.gst	20.7MB
Librum	com.librumreader.librum	61.7MB
Logseq	com.logseq.Logseq	418.8MB
Franz	com.meetfranz.Franz	358.0MB
MongoDB Compass	com.mongodb.Compass	356.9MB
Notesnook	com.notesnook.Notesnook	232.9MB
John the Ripper CE	com.openwall.John	144.3MB
Pinegrow	com.pinegrow.Pinegrow	40.4kB
ZapZap	com.rtosta.zapzap	244.9MB
Caprine	com.sindresorhus.Caprine	278.4MB
TreeSheets	com.strlen.TreeSheets	13.5MB
SmartGit	com.syntevo.SmartGit	2.1MB
SmartSynchronize	com.syntevo.SmartSynchronize	97.3kB
TickTick	com.ticktick.TickTick	5.2MB
Bottles	com.usebottles.bottles	485.6MB
Viber	com.viber.Viber	10.9MB
Decibels	com.vixalien.decibels	141.3kB
Borg ER-3	com.voxdsp.Borg	937.0kB
Ymuse	com.yktoo.ymuse	19.4MB
Formiko	cz.zeropage.Formiko	62.1MB
Audio Sharing	de.haeckerfelix.AudioSharing	3.6MB
Turtle	de.philippun1.turtle	22.0MB
Flare	de.schmidhuberj.Flare	22.8MB
Gaia Sky	de.uni_heidelberg.zah.GaiaSky	232.6MB
Deezer	dev.aunetx.deezer	213.4MB
ecode	dev.ensoft.ecode	44.9MB
Collision	dev.geopjr.Collision	2.0MB
Lapce	dev.lapce.lapce	53.7MB
Pulsar	dev.pulsar_edit.Pulsar	670.3MB
Nyxt	engineer.atlas.Nyxt	214.6MB
tabela	eu.cichy1173.tabela	45.8MB
Qccrypt	fr.free.qccrypt.Qccrypt	389.1kB
Ten Forward	fr.sgued.ten_forward	2.3MB
Fluffychat	im.fluffychat.Fluffychat	87.2MB
Cinny	in.cinny.Cinny	336.2MB
AppFlowy	io.appflowy.AppFlowy	110.3MB
DBeaver Community	io.dbeaver.DBeaverCommunity	285.4MB
toolBLEx	io.emeric.toolblex	126.8MB
Enpass	io.enpass.Enpass	65.0kB
FreeTube	io.freetubeapp.FreeTube	236.4MB
Clash for Windows	io.github.Fndroid.clash_for_windows	3.9MB
PDF4QT	io.github.JakubMelka.Pdf4qt	22.1MB
SiteMarker	io.github.aerocyber.sitemarker	99.8kB
Planify	io.github.alainm23.planify	25.3MB
Shortcut	io.github.andreibachim.shortcut	933.9kB
GPU-Viewer	io.github.arunsivaramanneo.GPUViewer	24.0MB
Syntalos	io.github.bothlab.syntalos	635.5MB
IP Lookup	io.github.bytezz.IPLookup	125.4kB
FSearch	io.github.cboxdoerfer.FSearch	490.5kB
CudaText	io.github.cudatext.CudaText-Qt5	21.0MB
Paper Clip	io.github.diegoivan.pdf_metadata_editor	6.1MB
Simple Wireplumber GUI	io.github.dyegoaurelio.simple-wireplumber-gui	66.6kB
OpenArena (Quake3e)	io.github.ec_.Quake3e.OpenArena	420.2MB
PinApp	io.github.fabrialberio.pinapp	44.5MB
Warehouse	io.github.flattool.Warehouse	188.9kB
Flatsweep	io.github.giantpinkrobots.flatsweep	137.7kB
Varia	io.github.giantpinkrobots.varia	6.3MB
Passy	io.github.glitterware.Passy	108.0MB
System Monitoring Center	io.github.hakandundar34coding.system-monitoring-center	13.8MB
Hydrus	io.github.hydrusnetwork.hydrus	768.6MB
Rymdport	io.github.jacalz.rymdport	22.6MB
Linux-Assistant	io.github.jean28518.Linux-Assistant	94.7MB
Hidamari	io.github.jeffshee.Hidamari	101.5MB
Monitorets	io.github.jorchube.monitorets	2.1MB
LightkeeperRM	io.github.kalaksi.Lightkeeper	9.3MB
Colorway	io.github.lainsce.Colorway	322.0kB
Khronos	io.github.lainsce.Khronos	203.8kB
Letslearn	io.github.letslearn_app.letslearn	236.7MB
pwall	io.github.ltiber.Pwall	357.4kB
NightPDF	io.github.lunarequest.NightPDF	736.9MB
ImageFan Reloaded	io.github.mihnea_radulescu.imagefanreloaded	87.8MB
